Date,Open,High,Low,Close,Volume,N. Trades
2017-12-24 02:00:00,12999.98000000,13016.73000000,12100.00000000,12157.98000000,23860520.91674128,11262
2017-12-24 03:00:00,12179.93000000,13449.99000000,12100.00000000,13271.05000000,20896556.41124721,9944
2017-12-24 04:00:00,13271.05000000,13537.29000000,12723.49000000,13070.20000000,18842792.98136494,7484
2017-12-24 05:00:00,13098.41000000,13448.59000000,13064.73000000,13436.29000000,14824919.48784260,4655
2017-12-24 06:00:00,13443.14000000,13783.13000000,13313.00000000,13660.15000000,13712506.67127265,5004
2017-12-24 07:00:00,13667.39000000,13819.99000000,13228.00000000,13252.12000000,13175941.22254832,5653
2017-12-24 08:00:00,13228.00000000,13600.00000000,13071.16000000,13580.01000000,11837763.21368170,5752
2017-12-24 09:00:00,13580.01000000,13599.79000000,12767.00000000,12875.01000000,11686921.52212229,5636
2017-12-24 10:00:00,12875.00000000,12945.87000000,12367.00000000,12730.13000000,16781416.01510317,8971
2017-12-24 11:00:00,12730.13000000,12750.00000000,11866.38000000,12345.89000000,21768934.62913800,11762
2017-12-24 12:00:00,12345.89000000,12360.00000000,11640.00000000,12218.77000000,20126680.77937313,10866
2017-12-24 13:00:00,12218.77000000,12900.00000000,12200.00000000,12899.89000000,18989289.89701878,9185
2017-12-24 14:00:00,12898.64000000,13140.00000000,12599.87000000,13002.61000000,15563262.59309575,7315
2017-12-24 15:00:00,13002.67000000,13187.94000000,12250.00000000,12543.07000000,15261216.19601725,8043
2017-12-24 16:00:00,12540.00000000,12999.82000000,12500.00000000,12700.72000000,13135200.64924235,5872
2017-12-24 17:00:00,12700.82000000,12877.00000000,12525.25000000,12549.97000000,11788879.79766269,4606
2017-12-24 18:00:00,12524.99000000,12600.00000000,12326.42000000,12346.55000000,11891090.76639340,5241
2017-12-24 19:00:00,12346.52000000,12410.00000000,12030.00000000,12264.33000000,9523117.97011922,5668
2017-12-24 20:00:00,12264.32000000,12949.88000000,12166.61000000,12760.00000000,11796708.78016212,5241
2017-12-24 21:00:00,12760.01000000,12850.00000000,12460.03000000,12604.99000000,9767595.17347177,3790
2017-12-24 22:00:00,12604.00000000,13149.99000000,12542.17000000,13041.00000000,11783898.33308578,4525
2017-12-24 23:00:00,13054.79000000,13570.00000000,12982.67000000,13500.00000000,12056654.47041866,6132
2017-12-25 00:00:00,13500.00000000,13650.00000000,13301.00000000,13401.82000000,7416356.96102998,6453
2017-12-25 01:00:00,13443.12000000,13449.00000000,12980.69000000,13370.00000000,6981276.17575890,5086
2017-12-25 02:00:00,13370.01000000,13398.15000000,12812.35000000,13003.00000000,13284399.38666945,5592
2017-12-25 03:00:00,13003.01000000,13287.67000000,12912.15000000,12957.55000000,10843987.18487329,4762
2017-12-25 04:00:00,12969.22000000,13550.00000000,12708.00000000,13409.98000000,13984964.36429797,6858
2017-12-25 05:00:00,13409.98000000,13446.58000000,13195.00000000,13365.95000000,11359744.89764700,4536
2017-12-25 06:00:00,13376.40000000,13690.64000000,13350.00000000,13532.99000000,13332595.61687425,5937
2017-12-25 07:00:00,13533.00000000,13650.00000000,13420.00000000,13561.14000000,11722432.71778807,4264
2017-12-25 08:00:00,13580.00000000,13880.75000000,13449.98000000,13864.27000000,12757004.50012083,5382
2017-12-25 09:00:00,13874.31000000,13970.00000000,13600.00000000,13625.01000000,9353462.85902230,5423
2017-12-25 10:00:00,13625.01000000,13850.00000000,13610.00000000,13733.10000000,9343851.65259604,5432
2017-12-25 11:00:00,13733.09000000,13950.00000000,13680.00000000,13800.00000000,13345435.77101017,4872
2017-12-25 12:00:00,13808.11000000,14300.00000000,13766.29000000,14140.69000000,12734799.86522092,5769
2017-12-25 13:00:00,14140.69000000,14169.97000000,13399.50000000,13477.98000000,8668185.49481827,6511
2017-12-25 14:00:00,13451.00000000,13612.60000000,13059.00000000,13155.00000000,10244430.16063145,8020
2017-12-25 15:00:00,13156.18000000,13598.99000000,13100.00000000,13473.00000000,5471943.69766405,4678
2017-12-25 16:00:00,13473.00000000,13800.99000000,13451.37000000,13645.42000000,12803338.41801246,5249
2017-12-25 17:00:00,13645.41000000,13683.20000000,13400.00000000,13561.00000000,10176139.66202615,3879
2017-12-25 18:00:00,13578.99000000,13880.00000000,13565.03000000,13769.52000000,3773172.61021861,3099
2017-12-25 19:00:00,13798.99000000,13868.88000000,13599.00000000,13808.08000000,2156755.60295279,2240
2017-12-25 20:00:00,13811.64000000,13885.00000000,13420.00000000,13475.41000000,3665511.95891800,3206
2017-12-25 21:00:00,13495.00000000,13665.78000000,13331.00000000,13553.92000000,3114446.83758049,2881
2017-12-25 22:00:00,13553.92000000,13600.00000000,13356.00000000,13540.05000000,3083155.47734607,2836
2017-12-25 23:00:00,13545.09000000,13750.00000000,13421.47000000,13699.34000000,3522265.75583703,3451
2017-12-26 00:00:00,13699.34000000,13940.00000000,13670.15000000,13751.04000000,5118177.16038530,3743
2017-12-26 01:00:00,13752.02000000,13780.00000000,13533.00000000,13670.00000000,3871201.58541494,3299
2017-12-26 02:00:00,13670.00000000,13850.00000000,13624.98000000,13670.00000000,11668451.79566445,4390
2017-12-26 03:00:00,13685.98000000,14400.00000000,13651.06000000,14321.99000000,10905789.51219451,6398
2017-12-26 04:00:00,14300.00000000,14761.99000000,14210.79000000,14660.00000000,17370759.66622397,10533
2017-12-26 05:00:00,14686.98000000,15350.00000000,14660.00000000,14870.00000000,19447604.83212511,11383
2017-12-26 06:00:00,14847.00000000,15339.63000000,14827.00000000,15180.00000000,15905088.97154175,6355
2017-12-26 07:00:00,15178.25000000,15199.00000000,14758.00000000,15063.02000000,17000802.34829543,6052
2017-12-26 08:00:00,15073.16000000,15165.58000000,14758.00000000,14758.00000000,13032819.30399083,4569
2017-12-26 09:00:00,14758.00000000,15149.01000000,14700.99000000,15110.00000000,11138337.21855280,4930
2017-12-26 10:00:00,15113.55000000,15200.00000000,14900.01000000,14968.41000000,7300350.06861546,4017
2017-12-26 11:00:00,14968.41000000,15045.00000000,14711.81000000,14849.98000000,12326892.79557547,4976
2017-12-26 12:00:00,14844.00000000,15099.00000000,14660.00000000,15006.15000000,7537160.75487485,5077
2017-12-26 13:00:00,15000.01000000,15180.00000000,14989.85000000,15109.92000000,7618645.05848607,4772
2017-12-26 14:00:00,15101.02000000,15899.13000000,15086.66000000,15879.87000000,14164691.95817187,8726
2017-12-26 15:00:00,15850.10000000,15900.10000000,15431.43000000,15649.00000000,10793269.28071270,7334
2017-12-26 16:00:00,15649.99000000,15987.00000000,15527.63000000,15935.00000000,7211984.35673980,6050
2017-12-26 17:00:00,15934.00000000,15935.00000000,15432.06000000,15666.90000000,7078113.71853033,5381
2017-12-26 18:00:00,15670.00000000,15810.97000000,15500.00000000,15561.00000000,5197476.80472882,5023
2017-12-26 19:00:00,15550.01000000,15870.00000000,15538.08000000,15787.88000000,3856802.81764431,4305
2017-12-26 20:00:00,15787.95000000,16050.00000000,15555.88000000,15700.01000000,5861791.45868373,5005
2017-12-26 21:00:00,15739.86000000,15950.00000000,15636.23000000,15866.02000000,3201443.46264613,3375
2017-12-26 22:00:00,15866.02000000,15965.00000000,15580.00000000,15659.88000000,4239867.59192480,3988
