,t,v
536,1484524800,16685
537,1484611200,17444
538,1484697600,16307
539,1484784000,16179
540,1484870400,17870
541,1484956800,16126
542,1485043200,16266
543,1485129600,16462
544,1485216000,17417
545,1485302400,16199
546,1485388800,16431
547,1485475200,16081
548,1485561600,16088
549,1485648000,15472
550,1485734400,16731
551,1485820800,15702
552,1485907200,16291
553,1485993600,16344
554,1486080000,15984
555,1486166400,16880
556,1486252800,16934
557,1486339200,16222
558,1486425600,16512
559,1486512000,16933
560,1486598400,17008
561,1486684800,16920
562,1486771200,15889
563,1486857600,16993
564,1486944000,18332
565,1487030400,19122
566,1487116800,19126
567,1487203200,18244
568,1487289600,18030
569,1487376000,18016
570,1487462400,17208
571,1487548800,18484
572,1487635200,18234
573,1487721600,18186
574,1487808000,17744
575,1487894400,19618
576,1487980800,18678
577,1488067200,18723
578,1488153600,20065
579,1488240000,23008
580,1488326400,24640
581,1488412800,31671
582,1488499200,26417
583,1488585600,23528
584,1488672000,22794
585,1488758400,23216
586,1488844800,21801
587,1488931200,21949
588,1489017600,25259
589,1489104000,24360
590,1489190400,24568
591,1489276800,26279
592,1489363200,34416
593,1489449600,30083
594,1489536000,31515
595,1489622400,44081
596,1489708800,43475
597,1489795200,36139
598,1489881600,31688
599,1489968000,32258
600,1490054400,32893
601,1490140800,30363
602,1490227200,30333
603,1490313600,35997
604,1490400000,33765
605,1490486400,30223
606,1490572800,33502
607,1490659200,32428
608,1490745600,33236
609,1490832000,38687
610,1490918400,44805
611,1491004800,32141
612,1491091200,35568
613,1491177600,42695
614,1491264000,35370
615,1491350400,35431
616,1491436800,40185
617,1491523200,32326
618,1491609600,29289
619,1491696000,28595
620,1491782400,31474
621,1491868800,30656
622,1491955200,32285
623,1492041600,34002
624,1492128000,32489
625,1492214400,30928
626,1492300800,27796
627,1492387200,29452
628,1492473600,34009
629,1492560000,34289
630,1492646400,35689
631,1492732800,31503
632,1492819200,30617
633,1492905600,30808
634,1492992000,35263
635,1493078400,33686
636,1493164800,40987
637,1493251200,47033
638,1493337600,42618
639,1493424000,39482
640,1493510400,41952
641,1493596800,48068
642,1493683200,45636
643,1493769600,41350
644,1493856000,51304
645,1493942400,50095
646,1494028800,42975
647,1494115200,48071
648,1494201600,55752
649,1494288000,51882
650,1494374400,50549
651,1494460800,52736
652,1494547200,47082
653,1494633600,42604
654,1494720000,44514
655,1494806400,52248
656,1494892800,51916
657,1494979200,59459
658,1495065600,59035
659,1495152000,72064
660,1495238400,52675
661,1495324800,60677
662,1495411200,76476
663,1495497600,84426
664,1495584000,82146
665,1495670400,81901
666,1495756800,75678
667,1495843200,65270
668,1495929600,63973
669,1496016000,69562
670,1496102400,84007
671,1496188800,102402
672,1496275200,95595
673,1496361600,80264
674,1496448000,79329
675,1496534400,81575
676,1496620800,90299
677,1496707200,93592
678,1496793600,91758
679,1496880000,87234
680,1496966400,98331
681,1497052800,102761
682,1497139200,116037
683,1497225600,143038
684,1497312000,140491
685,1497398400,125473
686,1497484800,128654
687,1497571200,115990
688,1497657600,114297
689,1497744000,117416
690,1497830400,135673
691,1497916800,149150
692,1498003200,119668
693,1498089600,144497
694,1498176000,140575
695,1498262400,124772
696,1498348800,118434
697,1498435200,161094
698,1498521600,130722
699,1498608000,133105
700,1498694400,128143
701,1498780800,125613
702,1498867200,118104
703,1498953600,116149
704,1499040000,139504
705,1499126400,136998
706,1499212800,125726
707,1499299200,123558
708,1499385600,141222
709,1499472000,114568
710,1499558400,106591
711,1499644800,136397
712,1499731200,136938
713,1499817600,131339
714,1499904000,117609
715,1499990400,115928
716,1500076800,107688
717,1500163200,114090
718,1500249600,115784
719,1500336000,124659
720,1500422400,127989
721,1500508800,123360
722,1500595200,116402
723,1500681600,99867
724,1500768000,134703
725,1500854400,118331
726,1500940800,114825
727,1501027200,106966
728,1501113600,113766
729,1501200000,116632
730,1501286400,96659
731,1501372800,108275
732,1501459200,134872
733,1501545600,106107
734,1501632000,110900
735,1501718400,109546
736,1501804800,121245
737,1501891200,119543
738,1501977600,118304
739,1502064000,128780
740,1502150400,148110
741,1502236800,134365
742,1502323200,154590
743,1502409600,155324
744,1502496000,144077
745,1502582400,143119
746,1502668800,181133
747,1502755200,179535
748,1502841600,177618
749,1502928000,181314
750,1503014400,189599
751,1503100800,167049
752,1503187200,142439
753,1503273600,175160
754,1503360000,160695
755,1503446400,173228
756,1503532800,156441
757,1503619200,166765
758,1503705600,134774
759,1503792000,138709
760,1503878400,161713
761,1503964800,175887
762,1504051200,185483
763,1504137600,185903
764,1504224000,179046
765,1504310400,152765
766,1504396800,138701
767,1504483200,204530
768,1504569600,195551
769,1504656000,208473
770,1504742400,188523
771,1504828800,192467
772,1504915200,166105
773,1505001600,150663
774,1505088000,173113
775,1505174400,196272
776,1505260800,170419
777,1505347200,190503
778,1505433600,204789
779,1505520000,154075
780,1505606400,136941
781,1505692800,178749
782,1505779200,162817
783,1505865600,147836
784,1505952000,142841
785,1506038400,121254
786,1506124800,121411
787,1506211200,124421
788,1506297600,137119
789,1506384000,131153
790,1506470400,135765
791,1506556800,147791
792,1506643200,156714
793,1506729600,133151
794,1506816000,124278
795,1506902400,140401
796,1506988800,141331
797,1507075200,129059
798,1507161600,135034
799,1507248000,132567
800,1507334400,127245
801,1507420800,128629
802,1507507200,135126
803,1507593600,154041
804,1507680000,155522
805,1507766400,153890
806,1507852800,170469
807,1507939200,145289
808,1508025600,139572
809,1508112000,144220
810,1508198400,189570
811,1508284800,165342
812,1508371200,156856
813,1508457600,170173
814,1508544000,160742
815,1508630400,186909
816,1508716800,166494
817,1508803200,170165
818,1508889600,154253
819,1508976000,162618
820,1509062400,154874
821,1509148800,146002
822,1509235200,153401
823,1509321600,166123
824,1509408000,182932
825,1509494400,202644
826,1509580800,220466
827,1509667200,186478
828,1509753600,151330
829,1509840000,150763
