,t,v
917,1310169600,22511
918,1310256000,28441
919,1310342400,25505
920,1310428800,22750
921,1310515200,26808
922,1310601600,28682
923,1310688000,24115
924,1310774400,23674
925,1310860800,24274
926,1310947200,27601
927,1311033600,24782
928,1311120000,25539
929,1311206400,25137
930,1311292800,24163
931,1311379200,21647
932,1311465600,22920
933,1311552000,26711
934,1311638400,23543
935,1311724800,23165
936,1311811200,25053
937,1311897600,21756
938,1311984000,19386
939,1312070400,23766
940,1312156800,23275
941,1312243200,21237
942,1312329600,17988
943,1312416000,18586
944,1312502400,21120
945,1312588800,19901
946,1312675200,19634
947,1312761600,24295
948,1312848000,23270
949,1312934400,19300
950,1313020800,17814
951,1313107200,16683
952,1313193600,18815
953,1313280000,21128
954,1313366400,18781
955,1313452800,20593
956,1313539200,19988
957,1313625600,20313
958,1313712000,21840
959,1313798400,20800
960,1313884800,22366
961,1313971200,25025
962,1314057600,22345
963,1314144000,21797
964,1314230400,22862
965,1314316800,21300
966,1314403200,20640
967,1314489600,18215
968,1314576000,18696
969,1314662400,17313
970,1314748800,16787
971,1314835200,16492
972,1314921600,15858
973,1315008000,14200
974,1315094400,17225
975,1315180800,17841
976,1315267200,18377
977,1315353600,16392
978,1315440000,15365
979,1315526400,18315
980,1315612800,15532
981,1315699200,15078
982,1315785600,16221
983,1315872000,14664
984,1315958400,14442
985,1316044800,15192
986,1316131200,14298
987,1316217600,12877
988,1316304000,14074
989,1316390400,15826
990,1316476800,21668
991,1316563200,17693
992,1316649600,17256
993,1316736000,19799
994,1316822400,19129
995,1316908800,18971
996,1316995200,17509
997,1317081600,18409
998,1317168000,13462
999,1317254400,12613
1000,1317340800,13192
1001,1317427200,12750
1002,1317513600,11622
1003,1317600000,13518
1004,1317686400,13528
1005,1317772800,13340
1006,1317859200,14160
1007,1317945600,13446
1008,1318032000,12285
1009,1318118400,12084
1010,1318204800,13105
1011,1318291200,13491
1012,1318377600,13370
1013,1318464000,11321
1014,1318550400,14215
1015,1318636800,12864
1016,1318723200,11655
1017,1318809600,13858
1018,1318896000,12114
1019,1318982400,12258
1020,1319068800,11009
1021,1319155200,11939
1022,1319241600,12011
1023,1319328000,13109
1024,1319414400,13614
1025,1319500800,12802
1026,1319587200,12213
1027,1319673600,11281
1028,1319760000,12512
1029,1319846400,12691
1030,1319932800,11261
1031,1320019200,11738
1032,1320105600,12519
1033,1320192000,12907
1034,1320278400,12854
1035,1320364800,15519
1036,1320451200,13188
1037,1320537600,11308
1038,1320624000,12461
1039,1320710400,13456
1040,1320796800,14080
1041,1320883200,14197
1042,1320969600,11948
1043,1321056000,12027
1044,1321142400,12350
1045,1321228800,13472
1046,1321315200,13899
1047,1321401600,12950
1048,1321488000,12018
1049,1321574400,12204
1050,1321660800,9917
1051,1321747200,11162
1052,1321833600,9946
1053,1321920000,11185
1054,1322006400,11256
1055,1322092800,10697
1056,1322179200,11529
1057,1322265600,10057
1058,1322352000,10582
1059,1322438400,12432
1060,1322524800,14242
1061,1322611200,15160
1062,1322697600,13785
1063,1322784000,13127
1064,1322870400,12591
1065,1322956800,11699
1066,1323043200,12805
1067,1323129600,15021
1068,1323216000,12748
1069,1323302400,13898
1070,1323388800,11494
1071,1323475200,11681
1072,1323561600,11898
1073,1323648000,11074
1074,1323734400,11720
1075,1323820800,11711
1076,1323907200,9857
1077,1323993600,10368
1078,1324080000,9989
1079,1324166400,9675
1080,1324252800,12496
1081,1324339200,13468
1082,1324425600,11594
1083,1324512000,11744
1084,1324598400,11925
1085,1324684800,9947
1086,1324771200,11585
1087,1324857600,11954
1088,1324944000,11532
1089,1325030400,10541
1090,1325116800,11039
1091,1325203200,10248
1092,1325289600,10565
1093,1325376000,11236
1094,1325462400,11711
1095,1325548800,12892
1096,1325635200,12313
1097,1325721600,15079
1098,1325808000,14660
1099,1325894400,13075
1100,1325980800,14463
1101,1326067200,14603
1102,1326153600,15899
