time,open,high,low,close,Volume,Volume MA,RSI
1401580800,627.8,683.26,618.53,630.99,24132,11643.85,79.71135039
1401667200,630.99,678,613.03,661.22,20049,12349.5,82.74062043
1401753600,662,680.99,649.61,670.14,13540,12708.75,83.5224101
1401840000,668.9,673.61,621.86,640.6,17362,13303.6,71.90627027
1401926400,640.59,669.63,639.69,661.48,10688,13656.55,74.59575897
1402012800,661.46,662.13,647.16,647.16,6421,13864.45,69.66968024
1402099200,647.16,657.13,635.88,657.13,5717,14027.3,71.10059241
1402185600,657.13,661.11,651.7,658,2567,13921.55,71.22815182
1402272000,658,659,639.93,648.83,6751,12852.95,67.82972139
1402358400,648.83,657.41,642.45,648.55,5860,12791.05,67.72346886
1402444800,648.55,652.39,615,620.5,10390,12439.5,57.93297503
1402531200,623.81,630.36,550,569.1,24790,12700.6,45.07399799
1402617600,569.98,611.99,563,592,18645,13358.75,50.36046296
1402704000,592,593.53,538.38,566.58,16527,13198.4,45.16403562
1402790400,566.58,593,552.11,588.55,8763,13057.9,49.96903382
1402876800,592,610,582.01,586.91,10698,12602.95,49.61950847
1402963200,587,610.2,580,606.48,6545,12482.9,53.77468311
1403049600,606.48,616,599.9,607,6252,12391.8,53.88352103
1403136000,607.99,609.98,590,593.4,4592,11497.45,50.5323972
1403222400,593.41,598.68,580.51,588.02,6666,11347.75,49.22810271
1403308800,590,594.99,580,591.29,2917,10287,50.07163796
1403395200,591.33,605.05,587.82,600.34,3806,9474.85,52.42735256
1403481600,600.34,601,580.46,588.22,5258,9060.75,49.08708453
1403568000,588.22,588.25,572.1,572.62,6459,8515.6,45.10378437
1403654400,574,579.7,554.45,560.4,8825,8422.45,42.21401149
1403740800,560.4,580.11,557.2,579.99,4626,8332.7,47.96919513
1403827200,580.09,600,574,599.99,9146,8504.15,53.10430626
1403913600,599.99,604.21,589.56,589.56,3044,8528,50.31542853
1404000000,591.46,601.79,589.56,599.89,1549,8267.9,52.95086226
1404086400,599.86,647.09,595.51,641.11,15476,8748.7,61.68453642
1404172800,640,658.88,638,638.25,9433,8700.85,60.84065404
1404259200,638.25,658.75,638,650.5,5258,7724.25,63.16510199
1404345600,649.74,652.79,638.79,645.99,4918,7037.9,61.712709
1404432000,648.48,650.48,616.3,629,8695,6646.3,56.44708348
1404518400,628.81,632.97,623.23,630,1777,6297,56.68136682
1404604800,630.9,639,622.86,630.57,3283,5926.25,56.82393636
1404691200,633.87,636,612.9,622.09,6856,5941.8,53.97769317
1404777600,622.09,626.22,616.89,623.98,2631,5760.75,54.52441899
1404864000,623.98,626.88,619.17,620.01,965,5579.4,53.09753411
1404950400,621.96,623.93,607.9,612.44,3293,5410.75,50.38965465
1405036800,616.87,635,613.46,635,6085,5569.15,57.36753224
1405123200,634.99,642.57,628.7,638.07,3796,5568.65,58.22855486
1405209600,637.9,638.73,626.09,630.88,4153,5513.4,55.40622452
1405296000,630.88,632,616.84,621.17,3801,5380.5,51.75766426
1405382400,621.15,624,616.09,619.55,1658,5022.15,51.152449
1405468800,622.9,625,610.01,616.86,5294,5055.55,50.10475115
1405555200,617.39,629,610,622.2,4892,4842.85,52.1978545
1405641600,626.3,632.96,618.46,632.6,5010,4941.15,56.06359556
1405728000,632.59,632.6,625,628.63,1901,4958.75,54.25972725
1405814400,630,630,620,627,1433,4256.6,53.49861589
1405900800,626.98,628,615,622.73,3926,3981.25,51.4621214
1405987200,622.63,624.99,618.26,618.32,3333,3885,49.37179083
1406073600,619.99,623,615.51,621,4023,3840.25,50.68280252
1406160000,620.95,621.99,591.12,601.66,10210,3916,42.19197184
1406246400,603.96,609.65,592.97,602.93,4803,4067.3,42.86882529
1406332800,602.93,603,590,596.23,3572,4081.75,40.19499271
1406419200,596.23,602.83,589,590.3,3768,3927.35,37.93946384
1406505600,592.61,596,570.5,586.53,10399,4315.75,36.53578977
1406592000,589.88,591.95,578,585.95,4054,4470.2,36.31319708
1406678400,585.93,586,557.12,563.84,10469,4829,29.04791074
1406764800,563.83,590,555.9,582.04,9347,4992.1,39.73628135
1406851200,583.54,607.2,581.77,598.2,11928,5398.7,47.32403876
1406937600,597.84,599.09,584.95,589.59,3517,5366.9,44.13549767
1407024000,589.6,591,578.21,588.73,2772,5315.45,43.81792581
1407110400,587.53,595.7,581.8,588.5,5223,5493.7,43.7273065
1407196800,588.5,589,578.25,581.76,6886,5573.3,41.04825878
1407283200,581.75,586.36,576.44,581.16,7544,5705.9,40.80856592
1407369600,581.16,591.9,579,585.84,4418,5676.3,43.57615931
1407456000,585.84,595,584,588.02,4345,5798.5,44.86926065
1407542400,588.99,591.35,585.21,587.97,1595,5806.6,44.843876
1407628800,589.82,597,586,590.96,3176,5769.1,46.7827976
1407715200,590.98,590.99,571,573.98,6059,5905.4,38.504686
1407801600,574.55,574.59,561.9,566.69,6447,6026.6,35.59275414
1407888000,569.39,572,524.55,548.81,21149,6573.55,29.66674644
1407974400,549.85,551.86,497,507.99,25797,7623.25,21.05000601
1408060800,507.99,521.79,481.55,500.25,16565,8272.9,19.87143703
1408147200,502.48,529.8,485,521.97,12650,8717,31.46732502
1408233600,523.47,524.8,485.39,496.86,10275,8710.8,26.66332933
1408320000,498,510,442,475.22,28805,9948.35,23.35427164
1408406400,474.74,493,453.01,485.57,8143,9832.05,27.95933342
1408492800,491.98,527.01,466,516.39,19197,10324.55,39.59738357
1408579200,516.39,534.14,510,519.28,14157,10436,40.56695624
1408665600,519.29,528,500.01,514.65,15362,11028.25,39.47375311
1408752000,514.65,514.69,487,497,8415,11310.4,35.54173532
1408838400,496.96,515.95,495.02,507.85,5737,11336.1,39.52942077
1408924800,507.84,508.46,496.79,503.82,5744,11279,38.57485345
1409011200,503.74,516,502.27,512.18,6698,11236.7,41.71897417
1409097600,514.4,523.09,510,511.87,7768,11404.2,41.63387214
1409184000,511.87,514.98,505.93,506,7104,11542.15,39.97117077
1409270400,506.94,514.98,501.25,509.3,7234,11824.1,41.38830903
1409356800,509.3,509.42,498.13,500.85,4404,11885.5,38.8586198
1409443200,501.49,504.75,473.33,479.04,11281,12146.6,33.21555938
1409529600,479.01,490,472.01,474.54,9035,12276,32.17727082
1409616000,475.89,484.61,470.42,474.5,7318,11584.45,32.16764522
1409702400,474.5,477.99,471,474.89,4716,10530.4,32.38003956
1409788800,474.86,497,471.04,487.43,10767,10240.5,38.99447553
1409875200,489.61,489.96,473.03,477.65,5186,9867.3,36.0340321
1409961600,477.65,485,477.16,479.78,2754,9491.25,37.15311655
1410048000,479.99,483,474.95,475.43,2825,8192.25,35.7765211
1410134400,477.4,478.39,456.3,468.33,14543,8512.25,33.58895422
1410220800,468.32,476.4,459.18,473.2,9091,8006.95,36.45889724
1410307200,473.34,492,473.32,476.57,11464,7872.3,38.44137131
1410393600,477.78,480,465,475.9,7906,7499.5,38.18628348
1410480000,477.43,478,462,474.62,6058,7381.65,37.67196866
1410566400,473.08,480.13,467.43,477.98,5798,7384.7,39.95804365
1410652800,477.99,481.58,473.59,475.49,3847,7289.85,38.8216576
1410739200,475.47,479.62,467.76,469.47,6195,7264.7,36.14523577
1410825600,469.47,473.69,462,462.02,5897,7171.15,33.10364508
1410912000,463.48,465.57,443.57,452.09,12434,7437.65,29.53601903
1410998400,452.99,452.99,407.94,425,22013,8176.6,22.43309531
1411084800,426.62,429,378.78,395.86,29715,9442.15,17.54531579
1411171200,395.86,431.11,390,408.76,19897,9872.95,25.30426739
1411257600,410.92,413.53,390,399.55,14149,10128.65,23.59700894
1411344000,400.77,409.38,396.26,400.07,10745,10300,23.90916105
1411430400,399.77,452.67,393.6,438.97,26971,11412.75,42.75202724
1411516800,440.85,441.78,418.83,423.68,14086,11578.7,38.69581089
1411603200,423.57,423.9,400,408.76,15005,12069.65,35.18749442
1411689600,410,414.35,396.53,403.57,9762,12420.05,34.03164575
1411776000,405.08,408.99,396.57,401.77,5450,12551.3,33.61917841
1411862400,399.16,403.99,368.9,375.35,16127,12630.5,28.21393491
1411948800,375.35,386.03,365.2,374.2,20013,13176.6,28.00288718
1412035200,374.17,397.75,371.8,391.09,14228,13314.8,35.61990755
1412121600,389.56,393.79,377.01,384.86,12991,13569.05,34.18333505
1412208000,384.85,385.82,372,374.68,10358,13784.05,31.91808571
1412294400,376.29,378.11,353.75,358.74,20366,14512.45,28.70990677
1412380800,358.71,365.07,322.04,326.21,28968,15768.5,23.51529976
1412467200,326.24,339.43,275,323.52,61700,18543.75,23.14240836
1412553600,322.82,347,295.89,328.59,69530,21725.4,25.53903762
1412640000,328.56,336.99,312.37,334.8,22950,22251.2,28.48078351
1412726400,334.8,359,326.93,355.73,28573,22579.2,37.45021007
1412812800,355.73,395.55,349,364.01,47809,23483.9,40.62275489
1412899200,364.01,380.08,351.1,360.89,20519,23515,39.80351281
1412985600,360.85,368.06,352.1,362,9954,23305.25,40.26506872
1413072000,362.77,383.6,354.71,378.11,14234,23479.7,46.65773281
1413158400,378.48,405,368.07,392.6,26049,23433.6,51.66784242
1413244800,392.99,417.99,390.48,403.38,24792,23968.9,55.05033806
1413331200,402.01,404.32,385.92,394.52,19113,24174.3,51.83919986
1413417600,394.52,399,370.1,383.95,22735,24822.95,48.22511592
1413504000,384.19,386,370.96,383.65,10486,25074.75,48.12256969
1413590400,383.2,397.29,377,390.58,7046,24620.7,50.72893359
1413676800,390.59,394.25,385,387.53,3208,23780.45,49.54903924
1413763200,389.06,390.65,376.2,381.21,12041,23671.1,47.10420729
1413849600,381,393.52,378.98,385.81,7703,23406.7,49.0738177
1413936000,385.79,388.87,380,382.04,8291,23303.35,47.51234684
1414022400,382.05,384.55,352.4,357.18,20995,23334.8,38.75526829
1414108800,356.81,363.71,344.34,358.86,15600,22666.4,39.56590751
1414195200,358.78,359.1,341.22,348.69,11069,20134.85,36.4230044
1414281600,348.69,363,344.5,355.18,7835,17050.1,39.71405357
1414368000,355.19,358.65,349.21,350,9540.671678,16379.63358,38.02227987
1414454400,351.03,357.7,350.09,355.2,2740.941802,15088.03067,40.75086997
1414540800,355.71,355.99,333.33,335.7,13057.18043,13350.4397,34.59930002
1414627200,336.37,352.83,332.99,346.14,14118.76519,13030.42795,39.83576331
1414713600,346.14,347.96,335.5,337.99,7525.757245,12909.01582,37.32342051
1414800000,337.99,339.47,316.61,324.7,14970.55786,12945.84371,33.60189052
1414886400,324.55,329,318.24,324.36,8335.416862,12060.16455,33.50983476
1414972800,324.23,333.99,322.74,325.5,11236,11382.36455,34.1611335
1415059200,326.45,332.9,320,330.22,13671,11110.26455,36.91638491
1415145600,329.96,344.17,328.8,338.38,15339,10740.46455,41.47617094
1415232000,338.37,353.1,336.27,349.99,14261,10929.21455,47.31156192
1415318400,349.99,352.15,340.4,342.16,7208,10937.31455,44.11668368
1415404800,342.16,347.75,340.6,345.39,3751,10964.46455,45.74432112
1415491200,346.19,366.35,343.4,364.77,10492,10887.01455,54.33778753
1415577600,365.37,377.77,357.3,366.43,19223,11463.01455,54.99532396
1415664000,366.43,371.52,360.28,370.65,7661,11431.51455,56.70225961
1415750400,370.09,434.8,369.85,426.02,44038,12583.66455,71.81004138
1415836800,426.63,453.92,381.55,420.93,49826,14294.96455,69.41231329
1415923200,417.85,420.3,382.95,399.98,21636,14823.31455,60.46361633
1416009600,399.97,407.22,369,376.99,14413,15152.21455,52.46951003
1416096000,376.97,395,375,389.86,9643,15157.33097,55.97837106
1416182400,389.86,415,375,387.69,24284,16234.48388,55.23791881
1416268800,388.72,394.64,371,374.88,15191,16341.17486,50.95319986
1416355200,374.87,386.39,371.7,379.03,8935,16081.9866,52.24555677
1416441600,379.04,381.8,351.8,356.47,16351,16523.24874,45.26332967
1416528000,356.47,358.49,342.05,351.2,15239,16536.67084,43.79106359
1416614400,351.19,365.93,350.7,353.12,6658,16452.8,44.49935687
1416700800,354.29,373.5,353.01,367.17,7936,16287.8,49.51293361
1416787200,367.17,389.99,366.67,375.99,19055,16557,52.41871389
1416873600,375.99,395.11,374.31,377.37,16138,16596.95,52.87572057
1416960000,377.05,379.22,363.38,368.5,12990,16533.4,49.5794896
1417046400,368.5,375.33,366.37,369.98,6126,16479.3,50.13802867
1417132800,369.98,381.34,358,376.86,13743,16978.9,52.75793979
1417219200,376,386.6,372.25,375.49,7238,16816.2,52.17010453
1417305600,375.48,381.99,373.32,377.01,3045,16007.3,52.79849752
1417392000,376.09,382.31,373.03,376.53,6913,15969.9,52.56364259
1417478400,376.53,382.86,375.23,379.52,6534,14094.7,53.93811019
1417564800,379.52,383,374.01,375.33,8435,12025.15,51.67836506
1417651200,376.61,378.99,360,369.16,12307,11558.7,48.45883471
1417737600,369.89,377.89,365.61,376,8578,11266.95,52.02693342
1417824000,376,376.99,371.31,374.38,2361,10902.85,51.12421383
1417910400,375.05,377.5,373.16,377.26,2464,9811.85,52.69561893
1417996800,376.03,377.26,359.01,361.3,11947,9649.65,44.21235247
1418083200,362.74,364.59,343.97,352.03,18936,10149.7,40.16756561
1418169600,352.02,353.74,345,345.21,6926,9678.45,37.45283909
1418256000,345.22,364.43,339.8,348.9,16135,9723.25,39.82263222
1418342400,348.88,358.59,348,352.24,8051,9792.9,41.96596872
1418428800,353.33,354.41,347.03,351.67,3812,9586.7,41.69304963
1418515200,351.67,359.3,347.44,356.52,6519,8959.9,44.9722644
1418601600,357.3,357.3,346.21,349,8071,8556.55,41.11149722
1418688000,348.85,349.35,327.34,329.05,17790,8796.55,33.01421051
1418774400,329.05,335.99,315.23,322,22843,9632.4,30.712147
1418860800,321.96,325.61,304.99,312.67,21564,10023.45,27.93591069
1418947200,312.65,320,307.11,318.33,15978,10460.45,31.9544258
1419033600,318.58,333,316.52,331.79,11356,10876,40.45769037
1419120000,331.77,332.31,318.78,320.01,6308,10845.75,36.19468812
1419206400,320.88,333.99,319.9,331.56,11812.76643,11109.68832,42.5828708
1419292800,332.52,338.99,327.49,336.92,7679.774009,11071.92702,45.31892696
1419379200,336.9,336.9,320.92,323.06,5884.875998,10750.82082,40.00969286
1419465600,323.03,323.72,316.63,319.86,3887.205584,10516.2811,38.87724258
1419552000,319.85,332,316.64,328.27,6390.747643,10717.76848,43.41059763
1419638400,329.31,329.31,311.63,316.47,8687.535557,11028.94526,39.03586697
1419724800,316.48,319.56,311.22,317.64,4121.075854,10637.64905,39.68490495
1419811200,317.64,320.14,310.26,313.01,6927.823204,10037.24021,37.96251874
1419897600,313.36,316.77,310,311.07,8885.659782,10135.2232,37.23332581
1419984000,311.1,321,310.69,321,6336.354436,9645.290925,43.24285153
1420070400,321,321,312.6,313.81,3087.436554,9397.112752,40.23871601
1420156800,313.82,317.01,311.96,315.42,3467.592911,9379.892398,41.22338762
1420243200,315.42,316.58,280,282,21752.71915,10141.57836,30.12679427
1420329600,280,289.39,255,264,41441.27855,11810.09228,26.0582262
1420416000,264.55,280,264.07,276.8,9528.271002,11397.00583,32.98864113
1420761600,272.45,305,272.45,293.97,9914.249594,10750.56831,40.97988578
1420848000,293.89,295,271.03,275.59,29448.77785,11144.8072,36.02704327
1420934400,275.6,280.94,262.08,266.39,12758.94904,10983.85466,33.82346313
1421020800,266.34,272.43,263.54,267.42,10458,10938.95466,34.30791136
1421107200,267.1,268.15,216,227,60488,13647.95466,26.20171912
1421193600,227.01,230.89,152.4,171.41,124190,19266.81634,19.40938035
1421280000,172,233.9,168.5,210.98,83474,23056.52764,32.76948986
1421366400,210.69,223.15,198.04,208.03,34694,24496.98384,32.33906863
1421452800,208.02,212.84,192.17,199.69,19086,25256.92356,31.09555368
1421539200,199.69,222,195.02,211.85,18191,25846.93617,35.01895218
1421625600,211.8,220.94,207.7,216.34,13022,26063.6594,36.45767044
1421712000,216.01,216.81,201.98,210.65,14108,26563.0056,35.38836888
1421798400,211.94,228.9,205,227.16,22894,27361.31444,40.81285003
1421884800,227.75,239,226.01,234.08,25366,28185.33145,42.97390031
1421971200,234.08,240,225.55,233.64,15179,28627.46373,42.86672641
1422057600,233.42,249.99,230.03,249.19,13749,29160.5419,47.81956685
1422144000,249.33,257,241.33,255.31,28721,30423.21226,49.668868
1422230400,254.67,309.9,254.67,274.8,55732,32122.1763,55.12348411
1422316800,274.76,278.51,243.1,263.98,21109,31105.56237,51.76920576
1422403200,263.97,266.45,225.91,236.07,28041,32031.19882,44.28366387
1422489600,236.07,242.18,220,235.79,25879,32829.43634,44.21459215
1422576000,235.12,244.98,225.52,228.96,20579,32385.94745,42.47426873
1422662400,228.98,234.8,215.75,216.9,19198,32707.9,39.51656407
1422748800,218.04,233,208.48,226.93,18366,33103.3,43.06738165
1422835200,226.93,241.98,221.79,238.47,15572,30857.5,46.92791754
1422921600,238.38,244.39,223.79,227.99,17455,25520.75,44.00933865
1423008000,227.94,231,220.02,227,14946,22094.35,43.73264165
1423094400,226.93,229,210.43,216.81,12843,21001.8,40.88339378
