Time Init,Open,High,Low,Close,Volume,Time Close,QAV,N Trades,RSI,target,,,,
1.55269E+12,3924.46,4056.98,3921.98,4005.98,28568.37612,1.55278E+12,114227606.4,216198,63.318601,1,,,,
1.55278E+12,4005.98,4012,3950.01,3981.14,18814.25558,1.55287E+12,74893913.06,146953,60.843156,0,,,,
1.55287E+12,3981.85,4037,3953.33,3987.81,22454.47801,1.55295E+12,89526258.39,157876,61.280886,1,,,,
1.55295E+12,3987.83,4031,3970,4015.53,19893.74182,1.55304E+12,79503748.36,147394,63.125788,1,,,,
1.55304E+12,4017.48,4050,3980.5,4043.04,23432.30026,1.55313E+12,94019734.23,175036,64.91261,1,,,,
1.55313E+12,4043.04,4069.32,3880.01,3980.64,35997.68212,1.55321E+12,144010401.5,236100,58.042224,0,,,,
1.55321E+12,3980.85,4008,3968.25,3986.93,20022.60632,1.5533E+12,79861943.81,153703,58.518824,1,,,,
1.5533E+12,3987.89,4018.83,3978.01,4006.01,17302.60432,1.55339E+12,69169819.86,143155,60.002986,1,,,,
1.55339E+12,4006.01,4006.02,3950,3992.18,17179.85065,1.55347E+12,68524082.75,131087,58.372683,0,,,,
1.55347E+12,3991.35,3999.3,3888.71,3936.12,33192.89022,1.55356E+12,131507366.4,227739,52.183359,0,,,,
1.55356E+12,3935.47,3958.98,3894,3948.55,29349.53763,1.55364E+12,115330071,192418,53.364105,1,,,,
1.55364E+12,3948.77,4048,3936.15,4038.05,32364.55585,1.55373E+12,129681258,224309,60.858717,1,,,,
1.55373E+12,4039.58,4039.7,4002,4027.81,20089.29388,1.55382E+12,80822230.58,157060,59.677043,0,,,,
1.55382E+12,4028.22,4123.71,4024.03,4103.25,30084.21744,1.5539E+12,122585822.6,203826,65.059607,1,,,,
1.5539E+12,4104.24,4140,4052,4106.97,19509.2926,1.55399E+12,79853835.58,162463,65.305543,1,,,,
1.55399E+12,4106.99,4116.12,4082.57,4103.95,13525.08743,1.55408E+12,55472147.13,124046,64.906123,0,,,,
1.55408E+12,4102.44,4158.7,4067,4144.56,25507.06764,1.55416E+12,105388238.1,184268,67.761509,1,,,,
1.55416E+12,4144.54,4897.99,4140.54,4857.29,105383.6393,1.55425E+12,489018726.8,609133,87.296861,1,,,,
1.55425E+12,4857.19,5275.01,4753.5,4932.6,109890.1257,1.55434E+12,548900970.9,692019,88.116289,1,,,,
1.55434E+12,4932.59,5039.08,4777,4898.66,61054.25417,1.55442E+12,301411332,419141,85.441362,0,,,,
1.55442E+12,4898.64,5028.22,4880.62,5004.95,39768.55281,1.55451E+12,197660830.7,292375,86.793465,1,,,,
1.55451E+12,5004.96,5205,4928.59,5043.89,41770.84231,1.5546E+12,210963411.6,281237,87.260272,1,,,,
1.5546E+12,5042.07,5234,5026,5170.27,37615.4868,1.55468E+12,192916750.6,274084,88.661105,1,,,,
1.55468E+12,5170.27,5305,5039,5236.9,50178.43078,1.55477E+12,260487077.8,350828,89.327409,1,,,,
1.55477E+12,5238.38,5238.4,5076.68,5150,34067.01231,1.55485E+12,175633627.3,253381,82.516907,0,,,,
1.55485E+12,5150,5422,5135,5308.25,40073.62047,1.55494E+12,210870034.5,260967,84.790979,1,,,,
1.55494E+12,5307.86,5332.67,4927,5017.37,54696.60069,1.55503E+12,277736905.9,369304,67.429373,0,,,,
1.55503E+12,5017.37,5080.58,4861.22,5048.01,33276.67861,1.55511E+12,166485761.1,226036,68.168729,1,,,,
1.55511E+12,5047,5099,5004,5045.22,17292.4568,1.5552E+12,87375984.44,138674,68.017321,0,,,,
1.5552E+12,5047.45,5152.99,5000,5131.3,18281.60774,1.55529E+12,92594930.43,131700,70.215369,1,,,,
1.55529E+12,5131.28,5167.38,4950,5024.95,29057.19158,1.55537E+12,147687551.9,204944,64.332705,0,,,,
1.55537E+12,5024.95,5197.72,5003.94,5173.72,24242.22949,1.55546E+12,123581651.7,168550,68.329888,1,,,,
1.55546E+12,5173.72,5230.4,5146.8,5202.82,23307.53613,1.55555E+12,120972345.5,179490,69.060291,1,,,,
1.55555E+12,5202.41,5287,5198.8,5258.44,22619.239,1.55563E+12,118573129.9,167110,70.462489,1,,,,
1.55563E+12,5258.44,5320,5175,5258.68,24611.23632,1.55572E+12,128937309.6,178148,70.468708,1,,,,
1.55572E+12,5258.68,5333.42,5230.1,5291.73,19168.90827,1.5558E+12,101343660.2,157080,71.36292,1,,,,
1.5558E+12,5292.91,5314.35,5165,5256.14,25549.57094,1.55589E+12,133929931.2,210494,68.941986,0,,,,
1.55589E+12,5257.41,5400,5208.35,5357.14,29563.85231,1.55598E+12,156632203,210361,71.859544,1,,,,
1.55598E+12,5357.14,5600,5332.41,5493.31,41262.10392,1.55606E+12,227154061.9,282563,75.237027,1,,,,
1.55606E+12,5490.91,5582.2,5333.35,5415,48224.15241,1.55615E+12,262493252.9,339599,70.031374,0,,,,
1.55615E+12,5415,5491.84,5102,5219.9,49636.08995,1.55624E+12,265091565.6,331089,59.066374,0,,,,
1.55624E+12,5220.47,5510,5161.62,5314.1,48912.29451,1.55632E+12,259659705.7,333183,62.148021,1,,,,
1.55632E+12,5315,5342.5,5257.67,5295.69,15422.89694,1.55641E+12,81749716.42,145733,61.17865,0,,,,
1.55641E+12,5295.69,5340,5259.48,5307.52,14371.43387,1.5565E+12,76277087.37,127730,61.593209,1,,,,
1.5565E+12,5309.81,5332,5178.8,5238.14,19918.13508,1.55658E+12,104822151.5,178472,57.701527,0,,,,
1.55658E+12,5238.14,5339.98,5192.15,5320.81,22238.06823,1.55667E+12,117309839.2,180989,60.8738,1,,,,
1.55667E+12,5321.94,5402,5316.2,5383.2,17217.47322,1.55676E+12,92194935.6,161488,63.121658,1,,,,
1.55676E+12,5383.2,5538,5370,5492.87,22795.78784,1.55684E+12,124498567.2,181896,66.739035,1,,,,
1.55684E+12,5494.81,5844,5477.57,5772.69,46297.17285,1.55693E+12,264435878.9,338298,73.80045,1,,,,
1.55693E+12,5770.62,5900,5587.45,5829.45,39682.40899,1.55701E+12,228942582.5,283145,74.96166,1,,,,
1.55701E+12,5829.83,5839.9,5696,5775.62,23822.54378,1.5571E+12,137653160.8,185365,71.715309,0,,,,
1.5571E+12,5773.18,5805,5619.14,5747.79,25256.59633,1.55719E+12,144358553.9,230431,70.026835,0,,,,
