First Training,2021-05-22 12:18,35,10000,5000,500,100,0.0001,5,64,CNN,10763.19,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-22 12:55,61,10000,5000,500,100,0.0001,10,64,CNN,10739.35,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-22 13:57,89,10000,5000,500,100,0.0001,15,64,CNN,10443.86,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-24 00:32,33,10000,5000,500,100,0.0001,5,64,CNN,11002.85,"[64, 64, 64]","[64, 64, 64]",[]
First Training,2021-05-24 01:07,57,10000,5000,500,100,0.0001,10,64,CNN,10679.98,"[64, 64, 64]","[64, 64, 64]",[]
First Training,2021-05-24 02:05,80,10000,5000,500,100,0.0001,15,64,CNN,10603.99,"[64, 64, 64]","[64, 64, 64]",[]
First Training,2021-05-24 03:26,105,10000,5000,500,100,0.0001,20,64,CNN,10684.82,"[64, 64, 64]","[64, 64, 64]",[]
First Training,2021-05-24 05:13,129,10000,5000,500,100,0.0001,25,64,CNN,10849.40,"[64, 64, 64]","[64, 64, 64]",[]
First Training,2021-05-24 09:06,23,10000,5000,500,100,0.0001,5,128,CNN,10752.42,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-24 09:31,36,10000,5000,500,100,0.0001,10,128,CNN,11189.41,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-24 10:08,49,10000,5000,500,100,0.0001,15,128,CNN,10615.48,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-24 10:59,63,10000,5000,500,100,0.0001,20,128,CNN,10478.34,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-24 12:03,77,10000,5000,500,100,0.0001,25,128,CNN,10503.60,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-24 13:22,18,10000,5000,500,100,0.0001,5,256,CNN,10725.74,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-24 13:42,26,10000,5000,500,100,0.0001,10,256,CNN,10650.01,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-24 14:09,34,10000,5000,500,100,0.0001,15,256,CNN,11123.95,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-24 14:44,42,10000,5000,500,100,0.0001,20,256,CNN,10640.18,"[64, 64, 64]","[64, 64, 64]",['RSI']
First Training,2021-05-24 15:27,50,10000,5000,500,100,0.0001,25,256,CNN,10859.10,"[64, 64, 64]","[64, 64, 64]",['RSI']
